Name,PlayerID
Gregory Soto,642397
Alex Lange,656638
Jason Foley,671345
Andrew Chafin,605177
Joe Jiménez,641729
Will Vest,676684
Garrett Hill,682051
Alex Faedo,656412
Rony García,665621
Michael Pineda,501381
Michael Fulmer,605242
Wily Peralta,503449
Joey Wentz,666214
Elvin Rodriguez,660730
José Cisnero,542585
Jacob Barnes,606930
Bryan Garcia,650530
Casey Mize,663554
Drew Carlton,656290
Kody Clemens,665019
Harold Castro,605612
Miguel Díaz,622766
Tucker Barnhart,571466
Framber Valdez,664285
Justin Verlander,434378
José Urquidy,664353
Luis Garcia,408202
Cristian Javier,664299
Ryan Pressly,519151
Rafael Montero,606160
Phil Maton,664208
Hector Neris,593576
Ryne Stanek,592773
Bryan Abreu,650556
Seth Martinez,661527
Hunter Brown,686613
Blake Taylor,642130
Brandon Bielak,656232
Parker Mushinski,656786
Ronel Blanco,669854
Enoli Paredes,660600
Pedro Báez,520980
Brady Singer,663903
Brad Keller,641745
Zack Greinke,425844
Daniel Lynch,663738
Kris Bubic,663460
Jonathan Heasley,669169
Scott Barlow,605130
Dylan Coleman,669395
Taylor Clarke,664199
Amir Garrett,607237
Jose Cuas,621016
Carlos Hernández,672578
Joel Payamps,606303
Josh Staumont,622251
Collin Snider,676092
Wyatt Mills,670090
Gabe Speier,642100
Max Castillo,666721
Ronald Bolaños,671790
Jackson Kowar,663804
Anthony Misiewicz,664948
Angel Zerpa,672582
Daniel Mengden,596043
Arodys Vizcaíno,527055
Jake Brentz,641394
Albert Abreu,656061
Foster Griffin,656492
Hunter Dozier,641531
Nicky Lopez,670032
Whit Merrifield,593160
Shohei Ohtani,660271
Patrick Sandoval,663776
Reid Detmers,672282
José Suarez,660761
Michael Lorenzen,547179
Noah Syndergaard,592789
Jimmy Herget,623474
Aaron Loup,571901
Ryan Tepera,572193
Andrew Wantz,681806
Jaime Barria,642545
Mike Mayers,594577
José Quijada,650671
Oliver Ortega,661383
Chase Silseth,681217
Touki Toussaint,657053
Archie Bradley,605151
Elvis Peguero,665625
Austin Warren,681810
Jhonathan Diaz,646242
Zack Weiss,592848
José Marte,665896
Kenny Rosenberg,670046
Kyle Barraclough,607457
Janson Junk,676083
Rob Zastryzny,642239
Gerardo Reyes,622103
César Valdez,491624
Jack Mayfield,608686
Nash Walters,663534
Brian Moran,572383
Tyler Anderson,542881
Julio Urías,628711
Tony Gonsolin,664062
Clayton Kershaw,477132
Andrew Heaney,571760
Walker Buehler,621111
Craig Kimbrel,518886
Evan Phillips,623465
Phil Bickford,641360
Alex Vesia,681911
Brusdar Graterol,660813
Mitch White,669952
David Price,456034
Ryan Pepiot,686752
Yency Almonte,622075
Caleb Ferguson,657571
Dustin May,669160
Michael Grove,675627
Daniel Hudson,543339
Justin Bruihl,677865
Tommy Kahnle,592454
Hanser Alberto,593643
Andre Jackson,656578
Heath Hembree,592390
Blake Treinen,595014
Garrett Cleavinger,664076
Robbie Erlin,572362
Shane Greene,572888
Sandy Alcantara,645261
Pablo López,641154
Trevor Rogers,669432
Jesús Luzardo,666200
Braxton Garrett,666129
Edward Cabrera,665795
Tanner Scott,656945
Dylan Floro,571670
Steven Okert,595345
Richard Bleier,542947
Anthony Bass,542914
Elieser Hernández,622694
Tommy Nance,667297
Daniel Castano,641447
Cole Sulser,642121
Huascar Brazoban,623211
Cody Poteet,547001
Jeff Brigham,656257
Zach Pop,647315
Anthony Bender,669622
Andrew Nardi,677053
Bryan Hoeing,663773
Jake Fishman,670288
Jimmy Yacabonis,642231
Shawn Armstrong,542888
Max Meyer,676974
Nick Neidert,663734
Jordan Holloway,656548
Aneurys Zabala,656008
Willians Astudillo,553902
Corbin Burnes,669203
Eric Lauer,641778
Brandon Woodruff,605540
Aaron Ashby,676879
Adrian Houser,605288
Freddy Peralta,642547
Josh Hader,623352
Brent Suter,608718
Hoby Milner,571948
Brad Boxberger,502202
Devin Williams,642207
Jason Alexander,669920
Trevor Gott,641627
Peter Strzelecki,657265
Jandel Gustave,594311
Luis Perdomo,606131
Trevor Kelley,665001
Matt Bush,456713
Taylor Rogers,573124
Miguel Sánchez,667376
Jake Cousins,664776
Justin Topa,623437
Ethan Small,663629
Jake McGee,459429
Luke Barker,673316
Connor Sadzeck,592712
Mike Brosseau,670712
Victor Caratini,605170
Pablo Reyes,622569
Jace Peterson,607054
Joe Ryan,657746
Dylan Bundy,605164
Sonny Gray,543243
Chris Archer,502042
Devin Smeltzer,656970
Josh Winder,680739
Emilio Pagán,641941
Griffin Jax,643377
Jhoan Duran,661395
Caleb Thielbar,573204
Tyler Duffey,608648
Bailey Ober,641927
Trevor Megill,656730
Jovani Moran,663558
Jharel Cotton,605194
Cole Sands,663485
Aaron Sanchez,592717
Joe Smith,122457
Louie Varland,686973
Chris Paddack,663978
Cody Stashak,664054
Danny Coulombe,543056
Ronny Henriquez,678692
Juan Minaya,573668
Dereck Rodríguez,605446
Jhon Romero,664584
Nick Gordon,624503
Ian Hamilton,641656
Jorge Alcala,660896
Jermaine Palacios,650339
Gerrit Cole,543037
Jameson Taillon,592791
Nestor Cortes,641482
Jordan Montgomery,656756
Luis Severino,622663
Domingo Germán,593334
Clay Holmes,605280
Lucas Luetge,476595
Wandy Peralta,593974
Jonathan Loáisiga,642528
Aroldis Chapman,547973
Clarke Schmidt,657376
Ron Marinaccio,676760
Frankie Montas,593423
Miguel Castro,612434
JP Sears,676664
Lou Trivino,642152
Chad Green,643338
Greg Weissert,669711
Ryan Weber,543901
Manny Banuelos,544365
Luis Gil,661563
David McKay,641853
Luke Bard,572703
Zack Britton,502154
Anthony Banda,607455
Marwin Gonzalez,503556
Chris Bassitt,605135
Taijuan Walker,592836
Carlos Carrasco,471911
Max Scherzer,453286
David Peterson,656849
Jacob deGrom,594798
Edwin Díaz,621242
Adam Ottavino,493603
Seth Lugo,607625
Joely Rodríguez,570257
Drew Smith,622098
Trevor Williams,592866
Tylor Megill,656731
Chasen Shreve,592741
Trevor May,543507
Adonis Medina,658431
Tommy Hunter,488984
Stephen Nogosek,668665
Colin Holderman,670059
Yoan López,661255
Sean Reid-Foley,656887
José Butto,676130
Alex Claudio,592222
Nate Fisher,688010
Darin Ruf,573131
Thomas Szapucki,663378
Sam Clay,621348
Cole Irvin,608344
James Kaprielian,621076
Paul Blackburn,621112
Adam Oller,670124
Adrián Martinez,661309
Dany Jiménez,666204
Domingo Acevedo,642758
Zach Jackson,667427
Sam Moll,594580
Zach Logue,656657
Austin Pruitt,643493
Kirby Snead,669912
Daulton Jefferies,641726
Jared Koenig,657649
Ken Waldichuk,686610
Norge Ruíz,650204
Sam Selman,572125
Adam Kolarek,592473
Domingo Tapia,593619
Jacob Lemoine,621082
Justin Grimm,518748
Tyler Cyr,664202
Collin Wiles,621079
Sheldon Neuse,641914
Parker Markel,571917
Ryan Castellani,624418
Chad Pinder,640461
Christian Bethancourt,542194
Aaron Nola,605400
Kyle Gibson,502043
Ranger Suárez,624133
Zack Wheeler,554430
Bailey Falter,663559
Zach Eflin,621107
Corey Knebel,608349
Andrew Bellatti,571479
José Alvarado,621237
Seranthony Domínguez,622554
Brad Hand,543272
Nick Nelson,656793
Connor Brogdon,641401
Cristopher Sánchez,650911
James Norwood,656803
Sam Coonrod,656322
Mark Appel,571446
Michael Plassmeyer,674681
Francisco Morales,672839
Damon Jones,676103
Michael Kelly,547184
Garrett Stubbs,596117
JoJo Romero,668941
Vinny Nittoli,657697
Nick Maton,665155
Nick Duron,663975
Bubby Rossman,657745
Darick Hall,669742
Mitch Keller,656605
JT Brubaker,664141
Zach Thompson,605507
Bryse Wilson,669060
José Quintana,500779
Roansy Contreras,672710
David Bednar,670280
Wil Crowe,640444
Chris Stratton,608717
Tyler Beede,595881
Dillon Peters,596071
Johan Oviedo,670912
Miguel Yajure,664337
Luis Ortiz,656814
Aaron Fletcher,667465
Cam Vieaux,664944
Austin Brice,592169
Max Kranick,668820
Jerad Eickhoff,595191
Junior Fernández,658551
Josh VanMeter,642165
Sam Howard,607572
Diego Castillo,660636
Nick Mears,683232
Cam Alldred,682027
Yu Darvish,506433
Joe Musgrove,605397
Sean Manaea,640455
Blake Snell,605483
Mike Clevinger,605182
MacKenzie Gore,669022
Nabil Crismatt,622503
Luis García,671277
Steven Wilson,621051
Tim Hill,657612
Nick Martinez,607259
Robert Suarez,663158
Craig Stammen,489334
Adrián Morejón,670970
Pierce Johnson,572955
Reiss Knehr,663753
Tayler Scott,605463
Ray Kerr,678061
Pedro Avila,658648
Kyle Tyler,667725
Wil Myers,571976
Ryan Weathers,677960
Austin Adams,613534
Michel Báez,673258
Matthew Batten,676946
Javy Guerra,642770
José Castillo,620454
Logan Webb,657277
Carlos Rodón,607074
Alex Cobb,502171
Alex Wood,622072
Jakob Junis,596001
Camilo Doval,666808
Tyler Rogers,643511
John Brebbia,605154
Jarlín García,606424
Dominic Leone,608678
Yunior Marte,628708
Zack Littell,641793
Sam Long,669674
Sean Hjelle,663546
Anthony DeSclafani,543101
Scott Alexander,518397
Mauricio Llovera,661440
Jose Alvarez,501625
Shelby Miller,571946
Luis González,670768
Cole Waites,686972
Gregory Santos,666619
Andrew Vasquez,607755
Austin Wynns,642851
Donovan Walton,622268
Robbie Ray,592662
Logan Gilbert,669302
Marco Gonzales,594835
Chris Flexen,623167
George Kirby,669923
Paul Sewald,623149
Penn Murfee,682171
Andrés Muñoz,662253
Erik Swanson,657024
Matt Festa,670036
Matt Brash,666374
Ryan Borucki,621366
Tommy Milone,543548
Drew Steckenrider,608716
Sergio Romo,489265
Justus Sheffield,656954
Roenis Elías,606273
Ken Giles,571704
Matt Koch,571863
Brennan Bernardino,657514
Luis Torrens,620443
Riley O'Brien,676617
Miles Mikolas,571945
Adam Wainwright,425794
Dakota Hudson,641712
Ryan Helsley,664854
Andre Pallante,669467
Jordan Hicks,663855
Giovanny Gallegos,606149
Génesis Cabrera,650893
Jake Woodford,663765
Steven Matz,571927
Jack Flaherty,656427
Matthew Liberatore,669461
Zack Thompson,668868
Packy Naughton,676050
Nick Wittgren,621295
Drew VerHagen,572403
Kodi Whitley,676831
Aaron Brooks,605156
James Naile,664942
Angel Rondón,667373
Jake Walsh,673904
Yadier Molina,425877
Corey Dickerson,572816
Albert Pujols,405395
Andrew Knizner,668800
Shane McClanahan,663556
Corey Kluber,446372
Drew Rasmussen,656876
Jeffrey Springs,605488
Jason Adam,592094
Colin Poche,621363
Brooks Raley,548384
Ryan Thompson,657044
Ryan Yarbrough,642232
Jalen Beeks,656222
Matt Wisler,605538
Josh Fleming,676596
Ralph Garza,621248
Shane Baz,669358
Pete Fairbanks,664126
Calvin Faucher,676534
Andrew Kittredge,552640
Luis Patiño,672715
Phoenix Sanders,676637
Dusten Knight,643400
Yonny Chirinos,630023
Kevin Herget,643361
Tyler Glasnow,607192
Chris Mazza,607391
Tommy Romero,676720
Cristofer Ogando,642657
Cooper Criswell,681867
Easton McGee,668834
Martín Pérez,527048
Dane Dunning,641540
Glenn Otto,657248
Jon Gray,592351
Joe Barlow,669618
Brock Burke,656271
Matt Moore,519043
Dennis Santana,642701
Brett Martin,656685
Taylor Hearn,621368
John King,667463
José Leclerc,600917
Garrett Richards,572070
Cole Ragans,666142
Spencer Howard,675921
Jonathan Hernández,642546
Josh Sborz,622250
Kolby Allard,663465
Jesus Tinoco,622786
Kohei Arihara,685503
Tyson Miller,668338
Spencer Patton,607359
Greg Holland,518813
Charlie Culberson,518586
Nicklaus Snyder,676766
Yerry Rodríguez,666720
Alek Manoah,666201
Kevin Gausman,592332
José Berríos,621244
Ross Stripling,548389
Yusei Kikuchi,579328
Jordan Romano,605447
Adam Cimber,643256
Trevor Richards,670950
David Phelps,475479
Tim Mayza,641835
Yimi García,554340
Trent Thornton,663423
Julian Merryweather,657240
Casey Lawrence,596271
Jeremy Beasley,676886
Matt Gage,657424
Thomas Hatch,641672
Tayler Saucedo,642048
Anthony Kay,641743
Shaun Anderson,641312
Bowden Francis,670102
Patrick Corbin,571578
Josiah Gray,680686
Erick Fedde,607200
Aníbal Sánchez,434671
Joan Adon,672851
Tanner Rainey,663432
Erasmo Ramírez,541640
Kyle Finnegan,640448
Steve Cishek,518553
Paolo Espino,502179
Andrés Machado,600921
Cory Abbott,676265
Víctor Arano,644364
Jordan Weems,607179
Hunter Harvey,640451
Josh Rogers,642028
Mason Thompson,666168
Jackson Tetreault,676194
Reed Garrett,657585
Francisco Pérez,660906
Evan Lee,681885
Patrick Murphy,641907
Sean Doolittle,448281
Tyler Clippard,461325
Stephen Strasburg,544931
Cade Cavalli,676917
Alcides Escobar,444876
Dee Strange-Gordon,543829
