Name,PlayerID
Carson Kelly,608348
Christian Walker,572233
Ketel Marte,606466
Nick Ahmed,605113
Eduardo Escobar,500871
David Peralta,444482
Starling Marte,516782
Kole Calhoun,594777
Daulton Varsho,662139
Tim Locastro,641796
Stephen Vogt,519390
Josh Rojas,668942
Jon Jay,445055
Jake Lamb,571875
Pavin Smith,656976
Josh VanMeter,642165
Andrew Young,670370
Wyatt Mathisen,621500
Ildemaro Vargas,545121
Kevin Cron,605196
Travis d'Arnaud,518595
Freddie Freeman,518692
Ozzie Albies,645277
Dansby Swanson,621020
Austin Riley,663586
Adam Duvall,594807
Ender Inciarte,542255
Nick Markakis,455976
Marcell Ozuna,542303
Johan Camargo,622666
Tyler Flowers,452095
Adeiny Hechavarria,588751
Matt Adams,571431
William Contreras,661388
Alex Jackson,656577
Charlie Culberson,518586
Cristian Pache,665506
Pablo Sandoval,467055
Scott Schebler,594988
Pedro Severino,600474
Renato Núñez,600524
Hanser Alberto,593643
Andrew Velazquez,623205
Rio Ruiz,547004
Ryan Mountcastle,663624
Cedric Mullins,656775
Anthony Santander,623993
José Iglesias,578428
Pat Valaika,642162
Austin Hays,669720
Chance Sisco,642082
DJ Stewart,621466
Chris Davis,448801
Bryan Holaday,592407
Ramón Urías,602104
Mason Williams,592863
Dilson Herrera,599096
Christian Vázquez,543877
Michael Chavis,656308
José Peraza,606299
Xander Bogaerts,593428
Rafael Devers,646240
Andrew Benintendi,643217
Alex Verdugo,657077
Kevin Pillar,607680
Bobby Dalbec,666915
Kevin Plawecki,608700
Jonathan Araúz,660620
Mitch Moreland,519048
Tzu-Wei Lin,624407
Christian Arroyo,624414
Yairo Muñoz,622168
César Puello,527049
Deivy Grullón,620453
Jonathan Lucroy,518960
Yasmani Grandal,518735
José Abreu,547989
Nick Madrigal,663611
Tim Anderson,641313
Yoán Moncada,660162
Eloy Jiménez,650391
Nomar Mazara,608577
Edwin Encarnación,429665
Danny Mendick,664901
James McCann,543510
Adam Engel,641553
Leury Garcia,544725
Zack Collins,641470
Jarrod Dyson,502481
Ryan Goins,572365
Luis González,670768
Yermín Mercedes,606213
Cheslor Cuthbert,596144
Willson Contreras,575929
Anthony Rizzo,519203
Jason Kipnis,543401
Javier Báez,595879
David Bote,623520
Kyle Schwarber,656941
Ian Happ,664023
Jason Heyward,518792
Victor Caratini,605170
Kris Bryant,592178
Nico Hoerner,663538
Cameron Maybin,457727
Albert Almora,546991
José Martínez,500874
Josh Phegley,572033
Billy Hamilton,571740
Hernán Pérez,541650
Patrick Wisdom,621550
Ian Miller,641878
Tucker Barnhart,571466
Joey Votto,458015
Mike Moustakas,519058
Freddy Galvis,520471
Eugenio Suárez,553993
Shogo Akiyama,673451
Nick Senzel,669222
Nick Castellanos,592206
Jesse Winker,608385
Curt Casali,592200
Kyle Farmer,571657
Jose Barrero,676480
Aristides Aquino,606157
Brian Goodwin,571718
Matt Davidson,571602
Phil Ervin,640447
Christian Colón,518568
Tyler Stephenson,663886
Mark Payton,592622
Travis Jankowski,608671
Roberto Pérez,547379
Carlos Santana,467793
César Hernández,514917
Francisco Lindor,596019
José Ramírez,542432
Jordan Luplow,656669
Delino DeShields,592261
Tyler Naquin,571980
Franmil Reyes,614177
Óscar Mercado,640458
Domingo Santana,570267
Sandy León,506702
Josh Naylor,647304
Bradley Zimmer,605548
Mike Freeman,502273
Greg Allen,656185
Beau Taylor,607333
Yu Chang,644374
Daniel Johnson,669288
Austin Hedges,595978
Tony Wolters,547172
Daniel Murphy,502517
Ryan McMahon,641857
Trevor Story,596115
Nolan Arenado,571448
Raimel Tapia,606132
Charlie Blackmon,453568
Matt Kemp,461314
Garrett Hampson,641658
Sam Hilliard,656541
Joshua Fuentes,658069
David Dahl,621311
Elias Díaz,553869
Chris Owings,572008
Drew Butera,460077
Brendan Rodgers,663898
Austin Romine,519222
Jeimer Candelario,600869
Jonathan Schoop,570731
Niko Goodrum,592348
Isaac Paredes,670623
Christin Stewart,621514
JaCoby Jones,592444
Daz Cameron,663662
Miguel Cabrera,408234
Victor Reyes,622682
Willi Castro,650489
Jorge Bonifacio,593528
Grayson Greiner,606988
Harold Castro,605612
Travis Demeritte,641513
Sergio Alcántara,642727
Eric Haase,606992
Brandon Dixon,641525
Derek Hill,656537
Dawel Lugo,608475
Jordy Mercer,474568
Martín Maldonado,455117
Yuli Gurriel,493329
Jose Altuve,514888
Carlos Correa,621043
Alex Bregman,608324
Kyle Tucker,663656
George Springer,543807
Josh Reddick,502210
Michael Brantley,488726
Abraham Toro,647351
Myles Straw,664702
Aledmys Díaz,649557
Jack Mayfield,608686
Dustin Garneau,572863
Taylor Jones,622100
Garrett Stubbs,596117
Yordan Alvarez,670541
Salvador Perez,521692
Hunter Dozier,641531
Nicky Lopez,670032
Adalberto Mondesí,609275
Maikel Franco,596748
Alex Gordon,460086
Bubba Starling,605490
Whit Merrifield,593160
Jorge Soler,624585
Ryan O'Hearn,656811
Ryan McBroom,643436
Edward Olivares,658668
Cam Gallagher,595956
Franchy Cordero,614173
Brett Phillips,621433
Meibrys Viloria,650619
Nick Heath,670084
Erick Mejia,625510
Kelvin Gutiérrez,642721
Matt Reynolds,519186
Óscar Hernández,591712
Max Stassi,545358
Albert Pujols,405395
Luis Rengifo,650859
Andrelton Simmons,592743
Anthony Rendon,543685
Justin Upton,457708
Mike Trout,545361
Jo Adell,666176
Shohei Ohtani,660271
David Fletcher,664058
Jared Walsh,665120
Taylor Ward,621493
Jason Castro,488771
Anthony Bemboom,621532
Matt Thaiss,642136
Franklin Barreto,620439
Michael Hermosillo,641684
Elliot Soto,519303
Jahmai Jones,663330
José Briceño,593993
Will Smith,519293
Max Muncy,571970
Enrique Hernández,571771
Corey Seager,608369
Justin Turner,457759
AJ Pollock,572041
Cody Bellinger,641355
Mookie Betts,605141
Joc Pederson,592626
Chris Taylor,621035
Austin Barnes,605131
Edwin Rios,621458
Gavin Lux,666158
Matt Beaty,607461
Keibert Ruiz,660688
Zach McKinstry,656716
Terrance Gore,605253
Jorge Alfaro,595751
Jesús Aguilar,542583
Jon Berti,542932
Miguel Rojas,500743
Brian Anderson,605119
Corey Dickerson,572816
Matt Joyce,459964
Garrett Cooper,643265
Jonathan Villar,542340
Lewis Brinson,621446
Francisco Cervelli,465041
Magneuris Sierra,642423
Monte Harrison,656509
Chad Wallach,595453
Lewin Díaz,650331
Eddy Alvarez,657193
Logan Forsythe,523253
Jesús Sánchez,660821
Isan Díaz,656371
Sean Rodríguez,446481
Harold Ramírez,623912
Ryan Lavarnway,543432
Brian Navarreto,640459
Omar Narváez,553882
Justin Smoak,475253
Keston Hiura,669374
Orlando Arcia,606115
Eric Sogard,519299
Christian Yelich,592885
Avisaíl García,541645
Ben Gamel,592325
Ryan Braun,461334
Jedd Gyorko,576397
Luis Urías,649966
Jace Peterson,607054
Jacob Nottingham,641924
Manny Piña,444489
Tyrone Taylor,621438
Mark Mathias,664029
Brock Holt,571788
Logan Morrison,489149
Lorenzo Cain,456715
Ryon Healy,592387
Mitch Garver,641598
Miguel Sanó,593934
Luis Arraez,650333
Jorge Polanco,593871
Josh Donaldson,518626
Eddie Rosario,592696
Byron Buxton,621439
Max Kepler,596146
Nelson Cruz,112906
Marwin Gonzalez,503556
Jake Cave,595909
Ehire Adrianza,501303
Ryan Jeffers,680777
Alex Avila,488671
Brent Rooker,667670
Willians Astudillo,553902
Travis Blankenhorn,663905
Aaron Whitefield,664334
Gary Sánchez,596142
Luke Voit,572228
DJ LeMahieu,518934
Gleyber Torres,650402
Gio Urshela,570482
Brett Gardner,458731
Aaron Hicks,543305
Clint Frazier,640449
Giancarlo Stanton,519317
Aaron Judge,592450
Mike Tauchman,643565
Tyler Wade,642180
Mike Ford,645801
Miguel Andujar,609280
Thairo Estrada,642731
Kyle Higashioka,543309
Erik Kratz,456124
Estevan Florial,664314
Wilson Ramos,467092
Pete Alonso,624413
Robinson Canó,429664
Amed Rosario,642708
Jeff McNeil,643446
Brandon Nimmo,607043
Michael Conforto,624424
Yoenis Céspedes,493316
Dominic Smith,642086
Andrés Giménez,665926
Luis Guillorme,641645
Todd Frazier,453943
Jake Marisnick,545350
Robinson Chirinos,455139
Tomás Nido,621512
Guillermo Heredia,628338
Brian Dozier,572821
Ali Sánchez,645305
Ryan Cordell,641477
René Rivera,425784
Eduardo Núñez,456488
Juan Lagares,501571
Sean Murphy,669221
Matt Olson,621566
Tony Kemp,643393
Marcus Semien,543760
Matt Chapman,656305
Robbie Grossman,543257
Ramón Laureano,657656
Stephen Piscotty,572039
Khris Davis,501981
Mark Canha,592192
Vimael Machín,605353
Chad Pinder,640461
Jonah Heim,641680
Austin Allen,664119
Nate Orf,644337
Seth Brown,664913
Rhys Hoskins,656555
Jean Segura,516416
Didi Gregorius,544369
Alec Bohm,664761
Andrew McCutchen,457705
Roman Quinn,596451
Bryce Harper,547180
Scott Kingery,664068
Jay Bruce,457803
Adam Haseley,656514
Andrew Knapp,595284
Neil Walker,435522
Kyle Garlick,664247
Mickey Moniak,666160
Rafael Marchán,665561
Ronald Torreyes,591720
Jacob Stallings,607732
Josh Bell,458679
Adam Frazier,624428
Erik González,570481
Ke'Bryan Hayes,663647
Bryan Reynolds,668804
Cole Tucker,657061
Gregory Polanco,570256
Colin Moran,592567
Kevin Newman,621028
José Osuna,591741
JT Riddle,595375
John Ryan,121589
Phillip Evans,595943
Jared Oliva,666931
Anthony Alford,546990
Jason Martin,641829
Will Craig,643269
Andrew Susac,572180
Eric Hosmer,543333
Jake Cronenworth,630105
Manny Machado,592518
Jurickson Profar,595777
Trent Grisham,663757
Wil Myers,571976
Tommy Pham,502054
Austin Nola,543592
Greg Garcia,594824
Ty France,664034
Francisco Mejía,642336
Jorge Mateo,622761
Jorge Oña,671250
Abraham Almonte,501659
Luis Torrens,620443
Luis Campusano,669134
Joey Bart,663698
Brandon Belt,474832
Donovan Solano,456781
Brandon Crawford,543063
Evan Longoria,446334
Alex Dickerson,543105
Mauricio Dubón,643289
Mike Yastrzemski,573262
Wilmer Flores,527038
Austin Slater,596103
Darin Ruf,573131
Chadwick Tromp,644433
Hunter Pence,452254
Tyler Heineman,623168
Steven Duggar,621453
Daniel Robertson,621002
Jaylin Davis,664041
Joe McCarthy,524329
Joey Rickard,572073
Rob Brantly,542963
Evan White,657108
Kyle Seager,572122
Tim Lopes,621005
Kyle Lewis,641786
Dylan Moore,664238
José Marmolejos,592530
Dee Strange-Gordon,543829
Sam Haggerty,664059
Mallex Smith,605480
Joseph Odom,641929
Braden Bishop,623323
